"Year","Season","City","lon","lat"
1896,"Summer","Athina",23.7275388,37.9838096
1900,"Summer","Paris",2.3522219,48.856614
1904,"Summer","St. Louis",-90.1994042,38.6270025
1906,"Summer","Athina",23.7275388,37.9838096
1908,"Summer","London",-0.1277583,51.5073509
1912,"Summer","Stockholm",18.0685808,59.3293235
1920,"Summer","Antwerpen",4.4024643,51.2194475
1924,"Summer","Paris",2.3522219,48.856614
1924,"Winter","Chamonix",6.869433,45.923697
1928,"Summer","Amsterdam",4.8951679,52.3702157
1928,"Winter","Sankt Moritz",9.8355079,46.4907973
1932,"Summer","Los Angeles",-118.2436849,34.0522342
1932,"Winter","Lake Placid",-73.9798713,44.2794911
1936,"Summer","Berlin",13.404954,52.5200066
1936,"Winter","Garmisch-Partenkirchen",11.0954984,47.4916945
1948,"Summer","London",-0.1277583,51.5073509
1948,"Winter","Sankt Moritz",9.8355079,46.4907973
1952,"Summer","Helsinki",24.9383791,60.1698557
1952,"Winter","Oslo",10.7522454,59.9138688
1956,"Winter","Cortina d'Ampezzo",12.1356524,46.5404711
1956,"Summer","Melbourne",144.9630576,-37.8136276
1956,"Summer","Stockholm",18.0685808,59.3293235
1960,"Winter","Squaw Valley",-120.2354422,39.197607
1960,"Summer","Roma",-95.0860407,36.481123
1964,"Winter","Innsbruck",11.4041024,47.2692124
1964,"Summer","Tokyo",139.6917064,35.6894875
1968,"Summer","Mexico City",-99.133208,19.4326077
1968,"Winter","Grenoble",5.724524,45.188529
1972,"Summer","Munich",11.5819805,48.1351253
1972,"Winter","Sapporo",141.3543763,43.0620958
1976,"Summer","Montreal",-73.567256,45.5016889
1976,"Winter","Innsbruck",11.4041024,47.2692124
1980,"Winter","Lake Placid",-73.9798713,44.2794911
1980,"Summer","Moskva",37.6172999,55.755826
1984,"Winter","Sarajevo",18.4130763,43.8562586
1984,"Summer","Los Angeles",-118.2436849,34.0522342
1988,"Winter","Calgary",-114.0708459,51.0486151
1988,"Summer","Seoul",126.9779692,37.566535
1992,"Summer","Barcelona",2.1734035,41.3850639
1992,"Winter","Albertville",-93.6687657,45.2312337
1994,"Winter","Lillehammer",10.4662306,61.1152713
1996,"Summer","Atlanta",-84.3879824,33.7489954
1998,"Winter","Nagano",138.1947709,36.6485829
2000,"Summer","Sydney",151.2092955,-33.8688197
2002,"Winter","Salt Lake City",-111.8910474,40.7607793
2004,"Summer","Athina",23.7275388,37.9838096
2006,"Winter","Torino",7.6868565,45.070312
2008,"Summer","Beijing",116.4073963,39.9041999
2010,"Winter","Vancouver",-123.1207375,49.2827291
2012,"Summer","London",-0.1277583,51.5073509
2014,"Winter","Sochi",39.7341543,43.6028079
2016,"Summer","Rio de Janeiro",-43.1728965,-22.9068467
